Group,ID,Day,Size
1,101,0,41.8
1,101,13,1030.4
1,102,0,79.4
1,102,13,618.8
1,103,0,44.8
1,104,0,67.7
1,105,0,54.7
1,105,13,1699.3
1,106,0,60
1,107,0,46.8
1,107,13,2342.6
1,108,0,49.4
1,108,13,2295.9
2,201,0,49.1
2,201,13,455.5
2,202,0,60.6
2,203,0,41.5
2,204,0,46.8
2,205,0,39.5
2,205,13,552.5
2,206,0,53.5
2,207,0,43.5
2,207,13,62.4
2,208,0,64.4
2,209,0,47.5
2,210,0,71.7
2,210,13,743.5
3,301,0,44.1
3,301,13,2058.7
3,302,0,42.1
3,302,13,589.5
3,303,0,42.5
3,303,13,442.4
3,304,0,56.9
3,304,13,1066.4
3,305,0,46.7
3,305,13,455.3
3,306,0,51.2
3,306,13,1177.5
3,307,0,44
3,307,13,651.8
3,308,0,59.8
3,308,13,956.9
3,309,0,40.7
3,309,13,565.4
3,310,0,58.2
3,310,13,1372.7
4,401,0,41.3
4,402,0,53.5
4,403,0,45.8
4,403,13,624.1
4,404,0,48.2
4,405,0,47.7
4,405,13,527.1
4,406,0,69.2
4,406,13,1227.7
4,407,0,43.9
4,408,0,59.3
4,409,0,51.1
4,409,13,691.4
